,date,time,price,change,volume,amount,type,code
128,2021-06-10,09:36:21,112.92,0.01,14,158073,买盘,000538
129,2021-06-10,09:36:25,112.91,-0.01,12,135498,卖盘,000538
130,2021-06-10,09:36:28,112.91,0.0,24,271029,卖盘,000538
131,2021-06-10,09:36:31,112.91,0.0,43,485509,卖盘,000538
132,2021-06-10,09:36:33,112.81,-0.1,129,1455576,卖盘,000538
133,2021-06-10,09:36:37,112.76,-0.05,16,180525,中性盘,000538
134,2021-06-10,09:36:40,112.75,-0.01,31,349622,卖盘,000538
135,2021-06-10,09:36:43,112.74,-0.01,14,157836,中性盘,000538
136,2021-06-10,09:36:46,112.73,-0.01,130,1464725,中性盘,000538
137,2021-06-10,09:36:48,112.69,-0.04,15,169046,买盘,000538
138,2021-06-10,09:36:52,112.8,0.11,14,157921,买盘,000538
139,2021-06-10,09:36:54,112.8,0.0,15,169200,卖盘,000538
140,2021-06-10,09:36:58,112.75,-0.05,6,67632,卖盘,000538
141,2021-06-10,09:37:00,112.72,-0.03,20,225446,中性盘,000538
142,2021-06-10,09:37:05,112.72,0.0,9,101431,买盘,000538
143,2021-06-10,09:37:07,112.69,-0.03,218,2454690,卖盘,000538
144,2021-06-10,09:37:10,112.7,0.01,23,259164,买盘,000538
145,2021-06-10,09:37:12,112.6,-0.1,15,169046,中性盘,000538
146,2021-06-10,09:37:16,112.6,0.0,54,607900,中性盘,000538
147,2021-06-10,09:37:19,112.69,0.09,23,259164,买盘,000538
148,2021-06-10,09:37:22,112.65,-0.04,3,33801,中性盘,000538
149,2021-06-10,09:37:25,112.68,0.03,4,45062,买盘,000538
150,2021-06-10,09:37:28,112.69,0.01,18,202828,买盘,000538
151,2021-06-10,09:37:31,112.72,0.03,10,112718,买盘,000538
152,2021-06-10,09:37:34,112.69,-0.03,5,56346,卖盘,000538
153,2021-06-10,09:37:36,112.7,0.01,4,45080,中性盘,000538
154,2021-06-10,09:37:40,112.7,0.0,6,67625,中性盘,000538
155,2021-06-10,09:37:43,112.68,-0.02,141,1588634,卖盘,000538
156,2021-06-10,09:37:45,112.67,-0.01,46,518248,中性盘,000538
157,2021-06-10,09:37:49,112.6,-0.07,8,90121,卖盘,000538
158,2021-06-10,09:37:52,112.6,0.0,38,428012,卖盘,000538
159,2021-06-10,09:37:55,112.58,-0.02,5,56290,中性盘,000538
160,2021-06-10,09:37:58,112.6,0.02,9,101308,买盘,000538
161,2021-06-10,09:38:01,112.58,-0.02,18,202577,买盘,000538
162,2021-06-10,09:38:04,112.54,-0.04,23,258817,中性盘,000538
163,2021-06-10,09:38:07,112.58,0.04,36,405149,买盘,000538
164,2021-06-10,09:38:10,112.6,0.02,41,461613,买盘,000538
165,2021-06-10,09:38:12,112.54,-0.06,54,607877,卖盘,000538
166,2021-06-10,09:38:15,112.69,0.15,28,315247,买盘,000538
167,2021-06-10,09:38:19,112.69,0.0,11,123932,买盘,000538
168,2021-06-10,09:38:22,112.61,-0.08,7,78841,中性盘,000538
169,2021-06-10,09:38:25,112.61,0.0,9,101339,中性盘,000538
170,2021-06-10,09:38:28,112.6,-0.01,8,90080,卖盘,000538
171,2021-06-10,09:38:30,112.6,0.0,45,506696,买盘,000538
172,2021-06-10,09:38:34,112.6,0.0,9,101339,买盘,000538
173,2021-06-10,09:38:37,112.61,0.01,17,191423,买盘,000538
174,2021-06-10,09:38:39,112.61,0.0,9,101357,卖盘,000538
175,2021-06-10,09:38:43,112.62,0.01,40,450454,买盘,000538
176,2021-06-10,09:38:45,112.65,0.03,4,45060,卖盘,000538
177,2021-06-10,09:38:49,112.58,-0.07,58,653097,卖盘,000538
178,2021-06-10,09:38:52,112.68,0.1,7,78873,买盘,000538
179,2021-06-10,09:38:55,112.66,-0.02,6,67604,卖盘,000538
180,2021-06-10,09:38:58,112.65,-0.01,5,56325,卖盘,000538
181,2021-06-10,09:39:01,112.6,-0.05,15,168957,卖盘,000538
182,2021-06-10,09:39:04,112.6,0.0,17,191433,卖盘,000538
183,2021-06-10,09:39:07,112.6,0.0,17,191433,卖盘,000538
184,2021-06-10,09:39:09,112.61,0.01,13,146391,买盘,000538
185,2021-06-10,09:39:13,112.6,-0.01,22,247718,卖盘,000538
186,2021-06-10,09:39:16,112.5,-0.1,79,889167,卖盘,000538
187,2021-06-10,09:39:18,112.48,-0.02,37,416235,卖盘,000538
188,2021-06-10,09:39:22,112.32,-0.16,89,999829,卖盘,000538
189,2021-06-10,09:39:25,112.25,-0.07,8,89826,卖盘,000538
190,2021-06-10,09:39:27,112.28,0.03,18,201937,买盘,000538
191,2021-06-10,09:39:31,112.25,-0.03,6,67336,中性盘,000538
192,2021-06-10,09:39:33,112.2,-0.05,25,280310,中性盘,000538
193,2021-06-10,09:39:37,112.07,-0.13,17,190587,卖盘,000538
194,2021-06-10,09:39:39,112.16,0.09,77,863073,买盘,000538
195,2021-06-10,09:39:43,112.16,0.0,6,67272,买盘,000538
196,2021-06-10,09:39:46,112.05,-0.11,62,694816,卖盘,000538
197,2021-06-10,09:39:49,112.16,0.11,142,1592234,买盘,000538
198,2021-06-10,09:39:52,112.03,-0.13,5,56041,买盘,000538
199,2021-06-10,09:39:55,112.16,0.13,16,179335,中性盘,000538
200,2021-06-10,09:39:58,112.06,-0.1,19,212888,中性盘,000538
201,2021-06-10,09:40:01,112.1,0.04,29,324961,买盘,000538
202,2021-06-10,09:40:05,112.23,0.13,61,683399,买盘,000538
203,2021-06-10,09:40:07,112.08,-0.15,9,100936,卖盘,000538
204,2021-06-10,09:40:10,112.23,0.15,39,437154,买盘,000538
205,2021-06-10,09:40:13,112.23,0.0,4,44892,买盘,000538
206,2021-06-10,09:40:16,112.2,-0.03,30,336669,卖盘,000538
207,2021-06-10,09:40:19,112.2,0.0,12,134634,买盘,000538
208,2021-06-10,09:40:21,112.2,0.0,7,78534,买盘,000538
209,2021-06-10,09:40:24,112.2,0.0,51,572222,买盘,000538
210,2021-06-10,09:40:27,112.2,0.0,5,56100,卖盘,000538
211,2021-06-10,09:40:30,112.2,0.0,19,213204,卖盘,000538
212,2021-06-10,09:40:33,112.22,0.02,142,1593192,中性盘,000538
213,2021-06-10,09:40:37,112.2,-0.02,24,269333,中性盘,000538
214,2021-06-10,09:40:40,112.2,0.0,10,112195,卖盘,000538
215,2021-06-10,09:40:43,112.17,-0.03,8,89750,卖盘,000538
216,2021-06-10,09:40:45,112.17,0.0,3,33651,买盘,000538
217,2021-06-10,09:40:49,112.17,0.0,18,201891,买盘,000538
218,2021-06-10,09:40:52,112.14,-0.03,28,314063,卖盘,000538
219,2021-06-10,09:40:55,112.14,0.0,27,302776,买盘,000538
220,2021-06-10,09:40:58,112.14,0.0,10,112140,买盘,000538
221,2021-06-10,09:41:01,112.2,0.06,60,672812,买盘,000538
222,2021-06-10,09:41:04,112.17,-0.03,12,134616,卖盘,000538
223,2021-06-10,09:41:06,112.2,0.03,7,78527,买盘,000538
224,2021-06-10,09:41:10,112.23,0.03,10,112207,买盘,000538
225,2021-06-10,09:41:12,112.2,-0.03,71,796574,卖盘,000538
226,2021-06-10,09:41:16,112.23,0.03,10,112215,买盘,000538
